INFO  21:44:26.906                                                                com.example.com.Application | Starting Application using Java 21.0.1 with PID 7471 (/Users/ihongseok/git/spring_ex/gs-spring-boot-complete/target/classes started by ihongseok in /Users/ihongseok/git/spring_ex/gs-spring-boot-complete)
INFO  21:44:26.918                                                                com.example.com.Application | No active profile set, falling back to 1 default profile: "default"
INFO  21:44:27.011                org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
INFO  21:44:27.013                org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor | For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
INFO  21:44:28.822                               org.springframework.boot.web.embedded.tomcat.TomcatWebServer | Tomcat initialized with port 8080 (http)
INFO  21:44:28.843                                                 org.apache.coyote.http11.Http11NioProtocol | Initializing ProtocolHandler ["http-nio-8080"]
INFO  21:44:28.845                                                   org.apache.catalina.core.StandardService | Starting service [Tomcat]
INFO  21:44:28.846                                                    org.apache.catalina.core.StandardEngine | Starting Servlet engine: [Apache Tomcat/10.1.16]
INFO  21:44:28.882                            org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] | Initializing Spring embedded WebApplicationContext
INFO  21:44:28.882            org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext | Root WebApplicationContext: initialization completed in 1869 ms
INFO  21:44:29.631                   org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer | LiveReload server is running on port 35729
INFO  21:44:29.642                        org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver | Exposing 1 endpoint(s) beneath base path '/actuator'
INFO  21:44:29.703                                                 org.apache.coyote.http11.Http11NioProtocol | Starting ProtocolHandler ["http-nio-8080"]
INFO  21:44:29.719                               org.springframework.boot.web.embedded.tomcat.TomcatWebServer | Tomcat started on port 8080 (http) with context path ''
INFO  21:44:29.740                                                                com.example.com.Application | Started Application in 3.301 seconds (process running for 5.231)
INFO  21:44:29.745                                                com.example.com.Application$$SpringCGLIB$$0 | 로그: com.example.com.Application$$SpringCGLIB$$0 
INFO  21:44:29.747                                                com.example.com.Application$$SpringCGLIB$$0 | 로그: com.example.com 패키지에 있는 빈들을 검사해 보겠습니다.: 
INFO  21:44:29.764                                                com.example.com.Application$$SpringCGLIB$$0 | 로그: 빈명: com.example.com : application 
INFO  21:44:29.765                                                com.example.com.Application$$SpringCGLIB$$0 | 로그: 빈명: com.example.com.controller : helloRestController 
INFO  21:44:29.765                                                com.example.com.Application$$SpringCGLIB$$0 | 로그: 빈명: com.example.com.controller : helloThymeleafController 
INFO  21:44:29.765                                                com.example.com.Application$$SpringCGLIB$$0 | 로그: 빈명: com.example.com.controller : showInfoController 
INFO  21:44:29.766                                                com.example.com.Application$$SpringCGLIB$$0 | 로그: 빈명: com.example.com.controller : _RootController 
INFO  21:44:29.767                                                com.example.com.Application$$SpringCGLIB$$0 | 로그: 빈명: com.example.com : commandLineRunner 
INFO  21:44:30.554                            org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] | Initializing Spring DispatcherServlet 'dispatcherServlet'
INFO  21:44:30.556                                          org.springframework.web.servlet.DispatcherServlet | Initializing Servlet 'dispatcherServlet'
INFO  21:44:30.558                                          org.springframework.web.servlet.DispatcherServlet | Completed initialization in 1 ms
INFO  21:44:40.594                                              com.example.com.controller.ShowInfoController | 로그: com.example.com.controller.ShowInfoController 
INFO  21:44:40.597                                              com.example.com.controller.ShowInfoController | 로그: /HelloThymeleaf : public java.lang.String com.example.com.controller.HelloThymeleafController.hello(org.springframework.ui.Model)
INFO  21:44:40.597                                              com.example.com.controller.ShowInfoController | 로그: /showbeans : public java.lang.String com.example.com.controller.ShowInfoController.showBeans(org.springframework.ui.Model)
INFO  21:44:40.597                                              com.example.com.controller.ShowInfoController | 로그: / : public java.lang.String com.example.com.controller._RootController.index()
INFO  21:44:40.598                                              com.example.com.controller.ShowInfoController | 로그: /showendpoints : public org.springframework.web.servlet.ModelAndView com.example.com.controller.ShowInfoController.showEndpoints(org.springframework.ui.Model,jakarta.servlet.http.HttpServletRequest)
INFO  21:44:40.598                                              com.example.com.controller.ShowInfoController | 로그: /error : public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(jakarta.servlet.http.HttpServletRequest,jakarta.servlet.http.HttpServletResponse)
INFO  21:44:40.599                                              com.example.com.controller.ShowInfoController | 로그: /HelloRest : public java.lang.String com.example.com.controller.HelloRestController.RestHello()
INFO  21:44:40.599                                              com.example.com.controller.ShowInfoController | 로그: /error : public org.springframework.http.ResponseEntity org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(jakarta.servlet.http.HttpServletRequest)
